Product ID,Smell Main Group,Smell Sub-Group,Top,Middle,Bottom,% smell used
A310809,Fresh,Green,"Plum, Rose","Jasmine, Lily, Rose, Amber","Vanilla, Musk",7%
A258752,Oriental,Gourmand,"Candy Floss, Butter, Cream","Maple, Creamy, Honey","Caramel, Vanilla",5%
P0226729,Floral,Floral,"fresh, green, magnolia","floral, rose, violet, ylang ylang","Timberwood, musk, heliotrope, vanilla",7%
P0226729,Fresh,Fruity,"Fresh, green, Magnolia","Floral, rose, violet, ylang ylang","Timberwood, musk, vanilla, heliotrope",7%
P0240857,Fresh,Fruity,"orange, Bergamot, green apple, geranium","Ylang Ylang, floriental, fruity, orchid, rose, plum, lily of the valley","Sandalwood, vanilla, musk, caramel, cinnamon, tonka",7%
EAF34276/00,Oriental,Gourmand,"Vanilla, Butter","Vanilla, Coconut",Vanilla,7%
EAD26538/00,Floral,Gourmand,"Vanilla, Butter",Vanilla Coconut,Vanilla,N/A
EAD4259/00,Floral,Floral,"Apple, Grapefruit, Herbaceous, Violet","Gardenia, Jasmine, Strawberry","Musk, Vanilla, Wood",5%
EAD26532/00,Fresh,Fruity,"Peach / Apricot, Orange, Tropical Fruit","Peach, Blackcurrant","Peach, Coconut",5%
EAD26537/00,Floral,Floriental,"Apple, Blackcurrant, Pear, Rose","Jasmine, Muguet","Mousse, Musk, Peach",5%
EAD26534/00,Fresh,Fruity,"Mango, Orange, Tropical Fruit","Peach / Apricot, Blackcurrant, Rose","Peach / Apricot, Vanilla, Sandalwood",5%
EAD26540/00,Oriental,Gourmand,"Vanilla, Warm Milk","Vanilla, Hawthorn","Vanilla, Coconut",5%
EAD26540/00,Oriental,Gourmand,"Vanilla, Warm Milk","Vanilla, Hawthorn","Vanilla, Coconut",5%
EAD26531/00,Fresh,Fruity,"Blueberry, Red Fruits, Floral","Blueberry, Berry, Gourmand","Musk, Woody, Iris",5%
14/0000183,Fresh,Green,"lemon, green note","aloe vera, cucumber, white blossom",white musk,5%
14/0006691,Fresh,Green,Ozonic note,"Green,  bamboo, lotus blossom","Sweet woods, white musk",7%
14-0002058,Fresh,Fruity,orange,"blackberry, green note","white musk, vanilla",5%
09/903773,Oriental,Gourmand,Fresh Bread,Vanilla,Woody,5%
07/701428,Oriental,Gourmand,"solar notes, butter","vanilla , milky notes",Caramel,5%
17-0005326,Oriental,Gourmand,Butter Note,Milky Note,"Vanilla, Sweet Sugar",5%
17-0005326,Oriental,Gourmand,Butter Note,Milky Note,"Vanilla, Sweet Sugar",5%
12/0002194,Oriental,Oriental,Frangipani Blossom,"Oliban, White Tea, Cherry blossom","Vanilla, Rice,  Precious Wood",5%
17/0004136,Oriental,Gourmand,Almond,"Fruit, Berries","Vanilla, Musk",5%
13/0005672,Oriental,Sweet,Almond,"Fruit, Berries","Vanilla, Musk",5%
17-0005709,FLORAL,FRUITY,Almond,"Fruit, Berries","Vanilla, Musk",5%
12/0002189,Woody,Mossy Woods,Red berries,"pine needles, minty notes","treemoss, fir balsam",5%
17-0005710,Woody,Mossy Woods,Fruity,Pine,Moss,5%
13/0005751,Oriental,Gourmand,milky note,chocolate,"vanilla, brown sugar",5%
13/0002460,Oriental,Gourmand,Sweet clementine,"cookie, Hazelnut","vanilla, sugar",7%
16/0021730,Oriental,Gourmand,Cinnamon,Sugar,Vanilla,5%
13/0002303,Oriental,Gourmand,almond,"milky note, caramel",vanilla,5%
13/0002303,Oriental,Gourmand,almond,"milky note, caramel",vanilla,5%
13/0003675,Oriental,Gourmand,"Orange, Apple","Cinnamon, Clove",Cedarwood,5%
14/0001766,Oriental,Gourmand,hazelnut,chocolate,"vanilla, caramel",5%
18/0001607,Oriental,Gourmand,Mint,Chocolate,Vanilla,7%
14-0005009,Fresh,Fruity,Lemon,"Raspberry, Cranberry",Vanilla,5%
13/0004738,Oriental,Gourmand,"Citrus, green notes","basil, olive oil, mint, sweet almond","vanilla, woods",5%
16/0018071,Fresh,Fruity,sweet green note,pear pulp,"vanilla, white musk",5%
17/0005045,Oriental,Gourmand,Citrus,"White sea, white flowers","Vanilla, white musks",7%
08/802566,Fresh,Fruity,melon pulp,"white blossom, honey","vanilla, brown sugar",5%
12/0002331,Fresh,Fruity,"Apple, Orange","Cinnamon, Cloves",Vanilla,5%
07/701151,Fresh,Fruity,Milky note,"blueberry, wild berries",vanilla,5%
13/0001254,Oriental,Gourmand,Almond Milk,"Honey, Caramel","Vanilla, Hazelnut",5%
13/0001254,Oriental,Gourmand,Almond Milk,"Honey, Caramel","Vanilla, Hazelnut",5%
13/0001254,Oriental,Gourmand,Almond Milk,"Honey, Caramel","Vanilla, Hazelnut",5%
16/0016801,Fresh,Fruity,Citrus,"kiwi pulp, green note","white musk, brown sugar",5%
17/0003809,Oriental,Gourmand,Coconut,Milky Note,Vanilla,5%
16/0018490,Oriental,Gourmand,Coconut,Almond,"Vanilla, Light Wood",7%
13/0000353,Fresh,Citrus,Lemon,"sweet almond, cookie","vanilla, caramel, white musk",7%
08/801627,Fresh,Fruity,citrus,litchee,white musk,7%
13/0001429,Floral,Floral,"Bergamot, orange","white flowers, powderry note","white musk, incense, vanilla",5%
13/0003793,Fresh,Fruity,Mango,Papaya,Vanilla,5%
15-0012354,Fresh,Green,"citrus, water blossom","melon, cucumber",vanilla,5%
11/0003157,Oriental,Gourmand,Bitter almond,white blossom,white musk,5%
12/0002921,Oriental,Gourmand,almond,white blossom,sweet woods,5%
13/0004169,Oriental,Gourmand,Almond,"White Blossom, Milky Note",White Musk,5%
15/0007582,Oriental,Gourmand,"Citrus, Milky notes","sweet honey, nuts powder","vanilla, toffee",5%
16-0016562,Floral ,Floriental,Jasmine,Frangipani Blossom,Vanilla,5%
17-0005692,Floral,Floriental,Jasmine,Frangipani Blossom,Vanilla,5%
12-0003034,Oriental,Gourmand,Citrus,"Mulberry, red berries",Vanilla,5%
18/0000412,Sweet,Sweet,"Almond, Praline ","Hazlenut, Chocolate",Vanilla,7%
11/0004395,Fresh,Fruity,"Apricot, Plum, Coconut","Tuberose, Jasmine, Lily-of-the-Valley, Rose, Rosewood, Caraway","Sandalwood, Almond, Vanilla, Musk",5%
13/2304,Fresh,Fruity,citrus,"passion fruit, exotic blossom","white musk, vanilla",5%
16-0022945,SWEET,SWEET,Hazelnut,Pistachio,Vanilla,5%
13/0000357,Fresh,Citrus,"Orange, Apple","Cinnamon, Clove",Cedarwood,5%
14/0002304,Fresh,Fruity,citrus,"passion fruit, exotic blossom","white musk, vanilla",5%
09/902301,Fresh,Fruity,Orange,"Cinnamon, Cloves",Cedarwood,5%
13/0002316,Fresh,Citrus,citrus,"Mango, papaya, white blossom",white musk,5%
14-0004366,Fresh,Citrus,"CITRUS, BLACKCURRANT",WHITE BLOSSOM,WHITE MUSK,5%
13/0003799,Fresh,Water,"Citrus, solar note","white blossom, marine notes","vanilla, patchouli",5%
12/0000784,Oriental,Oriental,Citrus,"Incense, Cedar, White Bouquet","Patchouli, Dry Amber, Vanilla",7%
11/0004609,Fresh,Fruity,Aldehyde,Strawberry,"Vanilla, Caramel",7%
16/0019688,Fresh,Fruity,Citrus,"Strawberry, rhubarb, white flowers","brown sugar, white musk",5%
12/0004031,Floral,Floral,"Bergamot, Melon, Peach, Pear","Freesia, Lily-of-the-Valley, Rose, Violet","Cedar, Sandalwood, Vanilla, Musk",5%
16/0018876,Oriental,Gourmand,citrus,"orchid, white blossom, patchouli","vanilla pod, white musk",5%
14/0002087,Oriental,Gourmand,Hazelnut,Almond,Vanilla,5%
13/3714,Fresh,Fruity,"lime, tea","geranium, rose",flowers,5%
12/0002487,Oriental,Gourmand,Orange,"Almond, Star Anise","Cinnamon, Cloves",5%
14/0001493,Fresh,Water,CITRUS,"ORCHID, ROSE, WHITE BOUQUET","WHITE MUSK, VANILLA",5%
13/0000154,Fresh,Water,"watery note, raspberry",white blossom,white musk,5%
R.171301.7,Fresh,Fruity,"Tropical freuits, peach, pineapple","White flowers, Jasmin, Galbanum","Moss, Honey",7%
R.170497.5,Oriental,Gourmand,"Milk, Peach","Cake, Honey","Vanilla, Sugar",5%
R.171634.1,Oriental,Gourmand,"Elemi, Lemon, Pink Pepper","Clove, Incense, Rose","Vetiver, Tonka Beans, Benzoin",5%
PRX019332,Flowery,watery,"Orange, Aquatic Notes, Tropical Fruits","Lotus, Lily, Lily of the Valley, Rose","White Musk, Violet, Amber, Tobacco",7%
C284/M,Fresh,Green,"fresh, juicy and leafy green notes","aquatic –floral, green notes, wood",musk,7%
D2636/M,Fresh,Fruity,"fresh, juicy, green, fruity, plum","fruity; mirabelle plum, peach, apple, wild strawberry","sweet, fruity, balsamic, honey",5%
D2563/M,Fresh,Powdery,"floral, sweet, honey, linden","hawthorn, orange blossom, rose, violet, anise notes","sweet, warm, vanilla, musk, powdery",7%
FF7385,Floral,Floral,"Apple, Orange Blossom, Elderflower, Lime","Apple, Orange Blossom, Elderflower, Lime","Heliotrope, Violet, Musk’s",5%
SO018148,Fresh,Fruity,"Lemon, Orange, Leaves accord","Clove, Nutmeg, Cinnamon, Black Tea Leaves, Jasmine, Rose","Red Fruits, Tonka Bean, Vanilla, Patchouli, Oak Moss, Cedarwood, White Musks ",5%
SO018144,Oriental,Gourmand,"Pear, Plum, Apple Slices","Nutmeg, Cinnamon, Eucalyptus, Butter Cider","Heliotrope, Vanilla, Amber, Tonka Bean",6%
GG15552,Gourmand,Oriental,"Orange, Sparkling notes, Bergamot, Neroli","Eucalyptus, Orange Blossom, Coriander, Petit Grain, Waterlily","Honeysuckle, Orris, Vetiver.",5%
GG0627,Fruity,Fruity,"Grapefruit, Rhubarb","Cloudberries, Blueberries, Lingonberries, Peach, Raspberry","Vanilla, Cedarwood.",5%
281280,Floral,Floriental,"Ylang, Green Notes","Rose, Taré Blossom, Coconut, Tuberose","Vanilla, Jasmine, Orange Blossom, Musk",7%
17282F,Flowery,Powdery,"Meyer Lemon, Apricot Blossom, Violet Leaf","Sweet Pea, Clove Leaf, Lily Belle","Leafy Greens, Star Anise, White Musk",5%
11771-489-2,Fruity,Edible,"Peach, Mango","Pineapple, Orris, Grapefruit","Vanilla, Milk, Wood",5%
39944F,Fruity,Fruity,"Sparkling Prosecco, Peach Nectar, Lemon Peel","Coconut Water, Pineapple Peel, Passionfruit","Sun-Kissed Leaves, Apple Peel, Brown Sugar",7%
1251405,Oriental,Gourmand,"Coconut, Heliotrope","Lily-of-the-valley, Jasmine","Vanilla, Musk",7%
P0240857,Fruity,Spicy,"Orange, Bergamot, green Apple, Geranium","Ylang Ylang, Orchid, Lilly of the Valley, Plum, Rose","Sandalwood, Vanilla, Musk, Caramel, Cinnamon, Tonka",7%
2017030095,Fresh,Fruity,"Citrus, Grapefruit, Orange","Sugar, Red Fruits, Strawberry","Sweet, Cranberry",7%
P0226106,Fruity,Sweet,"Vanilla, Sweet, Bergamotte","licorice, flowery Vanilla, Balsamic","Sandelwood, Vanilla, Caramell, Patchouli, Tonka",7%
14-006351,Sweet,Gourmand,Milky,Caramel,"Vanilla, Musk",7%
281280,Floral,Floral,"Ylang, Green notes","Rose, Tiaré blossom, coconut, Tuberose","Vanilla, Jasmine, Orange Blossom, Musk",7%
22966F,Fruity,Fruity,"Orange Peel, Sun-Kissed Raspberry, Ripe Strawberry","Strawberry Leaf, Concord Grape, Pineapple","Shredded Coconut, Lush Greens, Sugared Vanilla",5%
29383F,Fresh ,"sun-dried linen accord, bergamot zest, leafy greens","lily of the valley, rose petal, vetiver","white cedar, clean musk, violet leaf","white cedar, clean musk, violet leaf",5%
EFF2897E97,Fresh ,Fruity,"lime, mandarin, green leaf, sea freshness","clary sage, cardamom, jasmine, sunflower","amber, musk, cedar wood, moss",4%
EFF293381,Fruity,Floral,"Orange, Peach, Coconut, Mandarin","Blackberry, Tropical Berries, Guava, Lemongrass","Musk, Vanilla, Amber",
293638,Flowery,Flowery,"Jasmin, Violet, Watery Notes","Hyacinth, Honeysuckle, Iris","Vetiver, Musk",5%
GG1825,Fruity,Fruity,"Grapefruit, orange","Neroli, jasmine, petitgrain","Musk, cedarwood",4%
EFF293381,Fruity,Fruity,"Orange, Peach, Coconut, Mandarin","Blackberry, Tropical Berries, Guava, Lemongrass","Musk, Vanilla, Amber",7%
GG3019,Flowery,Fresh,"Green violet leaves, elemi, rice milk","Violet, powdery orris, creamy Lilac, orchid, ylang, rose","comforting musks, Vanilla, Carnation, tonka, blond woods",5%
P0270387,Floral,Floral,"Agrumic, Bergamot, aldehydic, tangerine","Ylang Ylang, Rose, Floral, Violet, Lily of the valley, Iris","Vetiver, Vanilla, Musk, Patchouli, Sandalwood, Moss",7%
281280,Floral,Floriental,"Ylang, Green Notes","Rose, Taré Blossom, Coconut, Tuberose","Vanilla, Jasmine, Orange Blossom, Musk",1%
SO018144,Fruity,Spicy,"Pear, Plum, Apple Slices","Nutmeg, Cinnamon, Eucalyptus, Butter Cider","Heliotrope, Vanilla, Amber, Tonka Bean",6%
GG0627,Fruity,Fruity,"Grapefruit, Rhubarb","Cloudberries, Blueberries, Lingonberries, Peach, Raspberry","Vanilla, Cedarwood.",5%
GG3721,Fruity,Fruity,"Mango, Lychee","Peach, Green","Pineapple, Mango",5%
E-1837112,Fresh,Fruity,"Aldehyde, Peony","Rose, Violet, Melon","Cedarwood, Musk, White Flowers",7%
P0270365,Flowery,Flowery,"green, Bergamot, floriental","floral, Rose, Violet, YlangYlang, Jasmin, Honey","Sandelwood, Vanilla, Musk, Patchouli, Amber, Timberwood",7%
SO018148,Fruity ,Spicy,"Lemon, Orange, Leaves Accord","Clove, Nutmeg, Cinnamon, Black Tea Leaves, Jasmine, Rose","Red Fruits, Tonka Bean, Vanilla, Patchouli, Oak Moss, Cedarwood, White Musk",5%
GG3021,Floral,Floral,"Neroli, Ylang","White GARDENIA, ORANGE FLOWER, frangipani, monoi, Jasmin, Tubersose","Musk, coconut, carnation, milky",5%
19-0001502,Floral,Floral,"Fresh, Bitter Orange, Bergamot","Orange blossom, Jasmine, Patchouli","White Musk, Vanilla, Amber",5%
PRX022406,Tasty,Sweet,Cinnamon,Milk Caramelised Sugar,"Vanilla, Benzoin Resinoid",7%
GG2698,Powdrey,Milky,Hint of lemon,"cupcake, buttercream icing, nutme","Vanilla, warm musk",5%
E1922777,Woody,Oriental,"Green, Fresh, Citrusy, Fig tree leaves, Bergamot","Floral, Lily of the valley, Jasmine, Freesia, Woody","Woody, Patchouli, Moss, Musky, Amber, Vanilla",7%
